name,size,unit,portions,CarbohydratePerPortion,CarbohydratePerUnit,ProteinPerPortion,ProteinPerUnit,FatPerPortion,FatPerUnit,KcalPerPortion,KcalPerUnit,ingredients
Katkarapu-kasvistäytteiset tortillat,,g,4,,14.40,,4.90,,3.90,,112.00,"{'Pirkka vehnätortilloja': {'Unit': 'pkt', 'Amount': '1'}, 'Pirkka lehtisellerin vartta': {'Unit': '', 'Amount': '3-4'}, 'punainen paprika': {'Unit': '', 'Amount': '1'}, 'sipuli': {'Unit': '', 'Amount': '1'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '2'}, 'öljyä': {'Unit': 'rkl', 'Amount': '2'}, 'Pirkka tomaatti-valkosipulipastakastiketta': {'Unit': 'tlk', 'Amount': '1'}, 'vihreää peperonia (säilyke)': {'Unit': '', 'Amount': '5'}, 'timjamia': {'Unit': 'tl', 'Amount': '2'}, 'chilijauhetta': {'Unit': 'tl', 'Amount': '1/2-1'}, 'pieni kerä jäävuorisalaattia': {'Unit': '', 'Amount': '1'}, 'Pirkka aurinkokuivattuja tomaatteja': {'Unit': 'tlk', 'Amount': '1/2'}, 'Pirkka cocktailkurkkuja': {'Unit': 'tlk', 'Amount': '1'}, 'Pirkka katkarapuja (pakaste)': {'Unit': 'ps', 'Amount': '1'}, 'maissinjyviä': {'Unit': 'tlk', 'Amount': '1'}, 'maitorahkaa + 1 dl kermaa': {'Unit': 'prk', 'Amount': '1'}, 'kermaviiliä': {'Unit': 'prk', 'Amount': '1'}}"
Pääsiäisen kukkapullat,60,g,18,30.00,50.00,6.00,9.00,8.00,14.00,214.00,363.00,"{'maitoa': {'Unit': 'dl', 'Amount': '2 1/2'}, 'hiivaa': {'Unit': 'pkt', 'Amount': '1/2'}, 'sokeria': {'Unit': 'dl', 'Amount': '1'}, 'suolaa': {'Unit': 'tl', 'Amount': '1'}, 'kardemummaa': {'Unit': 'tl', 'Amount': '2'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '2'}, 'Pirkka Luomu kananmuna': {'Unit': '', 'Amount': '1'}, 'Pirkka leivontamargariinia': {'Unit': 'g', 'Amount': '100'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '7-8'}, 'mantelimassaa': {'Unit': 'pkt', 'Amount': '2'}}"
Paahtovanukas,120,g,6,25.20,21.00,7.20,6.00,7.20,6.00,190.00,158.00,"{'kevytmaitoa': {'Unit': 'dl', 'Amount': '3'}, 'kevytkermaa': {'Unit': 'dl', 'Amount': '2'}, 'sokeria': {'Unit': 'dl', 'Amount': '1'}, 'halkaistu vaniljatanko': {'Unit': '', 'Amount': '1'}, 'kananmunaa': {'Unit': '', 'Amount': '4'}, 'vettä': {'Unit': 'rkl', 'Amount': '2'}}"
Pekoninmakuinen lihapata,270,g,6,9.70,3.60,30.80,11.40,19.70,7.30,359.00,133.00,"{'Pirkka Luomu porkkanaa': {'Unit': '', 'Amount': '3-4'}, 'lanttu': {'Unit': '', 'Amount': '1/2'}, 'sipulia tai punasipulia': {'Unit': '', 'Amount': '3'}, 'HK Amerikan pekonia': {'Unit': 'pkt', 'Amount': '1'}, 'karjalanpaistilihoja': {'Unit': 'g', 'Amount': '700-800'}, 'vettä': {'Unit': 'dl', 'Amount': '3-4'}, 'mustapippuria': {'Unit': 'tl', 'Amount': '1/2-1'}, 'laakerinlehteä': {'Unit': '', 'Amount': '1-2'}, 'timjamia': {'Unit': 'tl', 'Amount': '1-2'}, 'suolaa': {'Unit': 'tl', 'Amount': 'n. 1/2'}, 'Pirkka perunasoseaineksia (pakaste)': {'Unit': 'ps', 'Amount': '2'}, 'Pirkka kevytmaitoa': {'Unit': 'dl', 'Amount': '4'}}"
Perunavuoka,165,g,8,25.10,15.20,5.30,3.20,8.70,5.30,190.00,115.00,"{'Pirkka valkosipuliperunoita': {'Unit': 'ps', 'Amount': '2'}, 'sinihomejuustoa murennettuna': {'Unit': 'g', 'Amount': '100-150'}, 'Flora Ruoka -kasvirasvasekoitetta': {'Unit': 'prk', 'Amount': '1'}, 'maitoa': {'Unit': 'dl', 'Amount': 'n. 2'}}"
Punaviinilammas,,g,10-15,,1.94,,17.83,,13.37,,216.05,"{'luuton lampaanpaisti': {'Unit': '', 'Amount': 'n. 1,5-2'}, 'pieni sipuli': {'Unit': '', 'Amount': '1'}, 'valkosipulinkynttä': {'Unit': '', 'Amount': '2-4'}, 'porkkana': {'Unit': '', 'Amount': '1'}, 'punaviiniä': {'Unit': 'dl', 'Amount': 'n. 3'}, 'öljyä': {'Unit': 'dl', 'Amount': '1/2'}, 'mustapippuria': {'Unit': '', 'Amount': '10'}, 'kuivattuja yrttejä (rosmariinia, timjamia,': {'Unit': 'rkl', 'Amount': '1-2'}, 'lihafondia': {'Unit': 'rkl', 'Amount': '1'}, 'minttuhyytelöä': {'Unit': 'rkl', 'Amount': '2'}, 'maissitärkkelystä (Maizena) +': {'Unit': 'rkl', 'Amount': '1'}}"
Sienicappuccino,,g,4,,4.40,,1.60,,4.50,,65.00,"{'sipuli': {'Unit': '', 'Amount': '1'}, 'Pirkka herkkusieniä': {'Unit': 'rs', 'Amount': '2'}, 'Pirkka voita': {'Unit': 'rkl', 'Amount': '2'}, 'vehnäjauhoja': {'Unit': 'dl', 'Amount': '3/4'}, 'vettä': {'Unit': 'dl', 'Amount': '9'}, 'Pirkka kuohukermaa': {'Unit': 'dl', 'Amount': '1'}, 'riista-kantarellifondia': {'Unit': 'rkl', 'Amount': 'n. 3'}, 'soijakastiketta': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka rasvatonta maitoa': {'Unit': 'dl', 'Amount': '2'}}"
Kirjolohi taikinakuoressa,,g,6,,11.00,,14.00,,18.00,,290.00,"{'Pirkka esikaulittua voitaikinaa': {'Unit': 'g', 'Amount': '500'}, 'nahatonta kirjolohifileetä': {'Unit': 'kg', 'Amount': 'n. 1'}, 'sitruunan mehu': {'Unit': '', 'Amount': '1/2'}, 'suolaa': {'Unit': 'tl', 'Amount': '1/4'}, 'voita': {'Unit': 'rkl', 'Amount': '2'}, 'sipulia hienonnettuna': {'Unit': 'g', 'Amount': '100'}, 'Pirkka pinaattia': {'Unit': 'ps', 'Amount': '1'}, 'crème fraîchea (ranskankerma)': {'Unit': 'tlk', 'Amount': '1'}, 'roseepippureita': {'Unit': 'tl', 'Amount': '1'}, 'tilliä hienonnettuna': {'Unit': 'rkl', 'Amount': '2'}}"
Muna-pekonisalaatti,200,g,5-6,4.00,2.00,8.00,4.00,16.00,8.00,218.00,109.00,"{'kananmunaa': {'Unit': '', 'Amount': '4'}, 'Pirkka pekonia': {'Unit': 'g', 'Amount': 'n. 100'}, 'Pirkka jääsalaattia': {'Unit': 'ruukku', 'Amount': '1'}, 'tomaattia': {'Unit': '', 'Amount': '4'}, 'Pirkka maustekurkkuviipaleita': {'Unit': 'dl', 'Amount': '1-2'}, 'öljyä': {'Unit': 'dl', 'Amount': '1/2'}, 'punaviinietikkaa': {'Unit': 'dl', 'Amount': '1/4'}, 'sinappia': {'Unit': 'tl', 'Amount': '1'}}"
Marenkiunelma,,g,10,,34.20,,5.20,,14.40,,290.00,"{'kananmunan valkuaista': {'Unit': '', 'Amount': '4'}, 'sitruunanmehua': {'Unit': 'tl', 'Amount': '1'}, 'sokeria': {'Unit': 'dl', 'Amount': '2'}, 'Pirkka manteli- tai pähkinärouhetta': {'Unit': 'dl', 'Amount': '1/2'}, 'maissitärkkelystä (Maizena)': {'Unit': 'rkl', 'Amount': '2'}, 'kuohu- tai vispikermaa': {'Unit': 'dl', 'Amount': '2'}, 'maitorahkaa': {'Unit': 'dl', 'Amount': '1'}, 'Pirkka appelsiinimarmeladia': {'Unit': 'dl', 'Amount': '1'}, 'vanilliinisokeria': {'Unit': 'tl', 'Amount': '1'}, 'Pirkka mandariinilohkoja': {'Unit': 'tlk', 'Amount': '1'}}"
